ano,codigo,sigla,local,populacao_total,taxa_crescimento,expectativa_vida,expectativa_vida_60,taxa_fecundidade,razao_dependencia_jovens,razao_dependencia_idosos,razao_dependencia_total,indice_envelhecimento,idade_media,idade_mediana
2030,0,BR,Brasil,216973093,0.293707486286277,77.8402061439966,23.2651601398667,1.4711477422993,28.0412726193537,30.0513283225025,58.0926009418562,107.168204276726,38.0186720203136,37.8535443875922
2031,0,BR,Brasil,217562970,0.271866429078371,78.0372520305259,23.3721354943434,1.46443451655583,27.4999801833308,30.860842879624,58.3608230629548,112.221327702376,38.3731121155406,38.2801536278335
2032,0,BR,Brasil,218096284,0.245130869467358,78.2319729941954,23.477705085614,1.4588086296593,27.0075148511689,31.6942866596311,58.7018015107999,117.35358412016,38.7251820026425,38.7058432132377
2033,0,BR,Brasil,218574144,0.219105062789615,78.4242408388393,23.5818691966023,1.45418582667768,26.4669244340895,32.5245922268974,58.9915166609869,122.887690664223,39.0744551377495,39.1302362730447
2034,0,BR,Brasil,218997707,0.193784585975543,78.613898232294,23.6844672173361,1.4504602919238,25.9477956229546,33.3722233449107,59.3200189678652,128.612942038853,39.4203899221648,39.553381171479
2035,0,BR,Brasil,219367247,0.168741492804769,78.8009254366711,23.785458674198,1.44749034183201,25.5242970451951,34.2750179340323,59.7993149792274,134.283885951266,39.7624118608737,39.9739565614313
2036,0,BR,Brasil,219681891,0.143432533481169,78.9854717882768,23.885090415936,1.44518318973101,25.1835276105473,35.2521747019044,60.4357023124517,139.981083059786,40.1001219531563,40.3926496225391
2037,0,BR,Brasil,219940741,0.117829466426067,79.1677481011686,23.9835114730292,1.4434392198299,24.9245519118301,36.3194932440923,61.2440451559223,145.717737966049,40.4333310625702,40.808199621757
2038,0,BR,Brasil,220144140,0.0924790009687149,79.3477760541043,24.0807368046454,1.4421463467947,24.727410156337,37.4792862282127,62.2066963845497,151.569800441102,40.7618126968994,41.2208293659586
2039,0,BR,Brasil,220292836,0.067544836760125,79.5253534422628,24.1766315001086,1.44130045598367,24.5676186878202,38.7194753461751,63.2870940339953,157.603697119293,41.0852751108075,41.6304451940208
2040,0,BR,Brasil,220386440,0.0424907144960462,79.7003977103764,24.2711084555258,1.44087517787648,24.4508279622489,40.0273998480528,64.4782278103017,163.705703176405,41.4035367647846,42.0366116320482
2041,0,BR,Brasil,220425299,0.0176322100397863,79.8729656758566,24.3642484086358,1.44079010146056,24.3654021263752,41.3747630475267,65.7401651739019,169.809481628621,41.7164857514835,42.4393396254195
2042,0,BR,Brasil,220410205,-0.0068476713283249,80.0432231983799,24.4561286150824,1.44103879114995,24.3031526084349,42.7383446943449,67.0414973027799,175.855146790757,42.0240548798546,42.8369796618414
2043,0,BR,Brasil,220341694,-0.0310834065056054,80.2112264384714,24.5467769077484,1.44157052095147,24.2603329326508,44.1129144772416,68.3732474098924,181.83144724231,42.3261483366829,43.2276581956444
2044,0,BR,Brasil,220220282,-0.0551016912849866,80.3768583685697,24.6361276320332,1.44231119216208,24.23403473315,45.4981613923288,69.7321961254788,187.744888101903,42.6226656952514,43.6078605276155
2045,0,BR,Brasil,220045691,-0.0792801636681273,80.5400817769388,24.7241440858602,1.44325952815709,24.2188084443474,46.8792720199786,71.098080464326,193.565559295383,42.9135648105011,43.9798178963667
2046,0,BR,Brasil,219817347,-0.103771175414658,80.7009733890919,24.8108681722686,1.44437528141621,24.209474651949,48.2379604690197,72.4474351209687,199.252404946905,43.1988966412191,44.3379760922735
2047,0,BR,Brasil,219535230,-0.128341554408806,80.8595717158026,24.8963618158883,1.44566301147302,24.2021929733643,49.5607514659499,73.7629444393142,204.777936943541,43.4787030992702,44.6880207422071
2048,0,BR,Brasil,219199916,-0.15273812772556,81.0159461802833,24.980704553545,1.44710309507604,24.1935091322593,50.8356046403813,75.0291137726406,210.120840108299,43.7530534409511,45.0296522858445
2049,0,BR,Brasil,218811421,-0.177233188355785,81.1701393108949,25.0639036379694,1.44863264834375,24.1814084218164,52.0632977370096,76.2447061588261,215.302999845279,44.0220811188827,45.3616419899709
2050,0,BR,Brasil,218369418,-0.202001795875184,81.3221364984106,25.1459507583841,1.45025586288853,24.1665443374443,53.2594440184171,77.4259883558614,220.385021849795,44.2859115052457,45.6876527426626
2051,0,BR,Brasil,217873978,-0.226881586504935,81.4719744682651,25.2268578319486,1.45195792655807,24.1520589278469,54.4492005999653,78.6012595278122,225.443308012082,44.5446222081648,46.0077763356943
2052,0,BR,Brasil,217325473,-0.251753332378224,81.6196235112954,25.3066049040283,1.4537387824893,24.1410318701728,55.6524003415427,79.7934322117154,230.53032960991,44.7982444837472,46.3222904721875
2053,0,BR,Brasil,216724289,-0.276628409776891,81.7649590159583,25.3850842724254,1.45560852155693,24.1326695782621,56.8719414212787,81.0046109995408,235.663697448984,45.0469313386466,46.6253399010973
2054,0,BR,Brasil,216070026,-0.301887251779154,81.9081091937246,25.4623615819576,1.45754421869391,24.1239067414622,58.1016845496011,82.2255912910633,240.846912451956,45.2909551878334,46.9177409401551
