ano,codigo,sigla,local,populacao_total,populacao_0_14,populacao_15_64,populacao_60_mais,populacao_65_mais,populacao_80_mais,proporcao_0_14,proporcao_15_64,proporcao_60_mais,proporcao_65_mais,proporcao_80_mais
2014,1,NO,Norte,17025334,5021102,11141900,1299803,862332,167023,0.294919441815356,0.654430626735429,0.0763452276472227,0.0506499314492156,0.0098102627531418
2015,1,NO,Norte,17236948,4985658,11350475,1360593,900815,174148,0.289242503951396,0.658496794212061,0.0789346814760943,0.0522607018365432,0.0101031806790854
2016,1,NO,Norte,17429371,4943699,11543475,1424371,942197,181861,0.283641848004727,0.662300148410405,0.081722455732912,0.0540580035848683,0.010434168852106
2017,1,NO,Norte,17606346,4897488,11722179,1491444,986679,190318,0.278166065803773,0.665792834015644,0.084710592419347,0.0560411001805826,0.0108096251203969
2018,1,NO,Norte,17783329,4858733,11890429,1561723,1034167,199343,0.273218417091648,0.66862784802553,0.0878194965633262,0.058153734882822,0.0112095434999825
2019,1,NO,Norte,17970930,4823890,12062680,1634716,1084360,208662,0.268427399138498,0.671232930070954,0.0909644631635647,0.060339670790549,0.0116110852359895
2020,1,NO,Norte,18137222,4780568,12226390,1701969,1130264,215709,0.263577740846972,0.674104887727569,0.0938384610388515,0.0623173714254587,0.0118931664397117
2021,1,NO,Norte,18272491,4732288,12369833,1761235,1170370,220008,0.25898428408037,0.676964788216341,0.0963872413454739,0.0640509277032891,0.0120403944924641
2022,1,NO,Norte,18403491,4682071,12504063,1828263,1217357,225991,0.254412111267368,0.679439732385557,0.0993432713391171,0.0661481563470757,0.0122797897420658
2023,1,NO,Norte,18535113,4621937,12638166,1908027,1275010,235158,0.249361144979262,0.681849956889931,0.102941212173889,0.0687888981308072,0.0126871630078543
2024,1,NO,Norte,18669345,4562408,12769650,1992741,1337287,246031,0.244379650169837,0.683990252470025,0.106738667050183,0.0716300973601377,0.0131783412862101
2025,1,NO,Norte,18801282,4510219,12888989,2080168,1402074,257853,0.239888907575558,0.685537773434811,0.110639689357353,0.0745733189896306,0.0137146498839813
2026,1,NO,Norte,18929341,4455569,13004609,2169970,1469163,270412,0.23537898123342,0.687008015757125,0.114635263847801,0.077613003009455,0.0142853361878789
2027,1,NO,Norte,19053881,4397028,13118440,2261893,1538413,283581,0.230768104408755,0.688491756613784,0.118710356173632,0.0807401389774608,0.0148831096404979
2028,1,NO,Norte,19175267,4336740,13228452,2355908,1610075,297513,0.226163213268425,0.689870550433535,0.122861809433996,0.0839662362980396,0.015515455404089
2029,1,NO,Norte,19293882,4267926,13341902,2452363,1684054,312791,0.221206183390154,0.69150946398449,0.127105732273059,0.0872843526253555,0.0162119266615189
2030,1,NO,Norte,19409992,4192728,13456976,2551693,1760288,329786,0.216008744362182,0.693301470706428,0.131462856862589,0.09068978493139,0.0169905273531282
2031,1,NO,Norte,19521320,4123132,13559753,2654206,1838435,348396,0.211211741828934,0.694612505711704,0.135964473713868,0.0941757524593624,0.0178469488743589
