ANO,CÓD.,SIGLA,LOCAL,POP_T,POP_H,POP_M,0-1_T,0-1_H,0-1_M,0-4_T,0-4_H,0-4_M,0-14_T,0-14_H,0-14_M,15-17_T,15-17_H,15-17_M,18-21_T,18-21_H,18-21_M,15-59_T,15-59_H,15-59_M,15-64_T,15-64_H,15-64_M,60+_T,60+_H,60+_M,65+_T,65+_H,65+_M,80+_T,80+_H,80+_M,P_H,P_M,P_0-1_T,P_0-1_H,P_0-1_M,P_0-4_T,P_0-4_H,P_0-4_M,P_0-14_T,P_0-14_H,P_0-14_M,P_15-17_T,P_15-17_H,P_15-17_M,P_18-21_T,P_18-21_H,P_18-21_M,P_15-59_T,P_15-59_H,P_15-59_M,P_15-64_T,P_15-64_H,P_15-64_M,P_60+_T,P_60+_H,P_60+_M,P_65+_T,P_65+_H,P_65+_M,P_80+_T,P_80+_H,P_80+_M
2020,0,BR,Brasil,209164889,102140954,107023935,2777978,1421632,1356346,14349330,7344834,7004496,43788711,22413403,21375308,9397552,4803722,4593830,13179242,6675504,6503738,135396735,66438999,68957736,144790679,70801079,73989600,29979443,13288552,16690891,20585499,8926472,11659027,4269699,1634050,2635649,0.488327436255327,0.511672563744673,0.0132812825961436,0.00679670477581923,0.00648457782032433,0.0686029575451356,0.035115042659,0.0334879148861356,0.209350198349973,0.107156622256998,0.102193576092974,0.0449289173002645,0.0229661967788485,0.021962720521416,0.0630088637868854,0.031915031398984,0.0310938323879014,0.647320569180232,0.317639348160388,0.329681221019843,0.692232236931505,0.33849409113783,0.353738145793676,0.143329232469796,0.0635314658379399,0.0797977666318557,0.0984175647185221,0.0426767228604988,0.0557408418580233,0.0204130770724144,0.00781225762991226,0.0126008194425021
2021,0,BR,Brasil,210103642,102550853,107552789,2688491,1375717,1312774,14102904,7218022,6884882,43395390,22214025,21181365,9286697,4748227,4538470,12962868,6580349,6382519,135805135,66670052,69135083,145458036,71144636,74313400,30903117,13666776,17236341,21250216,9192192,12058024,4356906,1663949,2692957,0.488096503343812,0.511903496656188,0.0127960228314367,0.00654780177489736,0.00624822105653932,0.0671235580009603,0.0343545782038371,0.0327689797971232,0.206542778539746,0.105728890696716,0.100813887843029,0.044200552220794,0.0225994511794327,0.0216011010413613,0.061697493087721,0.0313195380021066,0.0303779550856144,0.646372112864184,0.317319830181716,0.329052282682468,0.692315633443422,0.338616862243635,0.353698771199787,0.147085108596071,0.0650477824653796,0.0820373261306913,0.101141588016832,0.0437507504034604,0.0573908376133718,0.0207369370589016,0.00791965805142968,0.0128172790074719
2022,0,BR,Brasil,210862983,102875114,107987869,2597799,1329250,1268549,13820837,7072657,6748180,42984314,22004429,20979885,9133765,4669276,4464489,12716181,6468531,6247650,136014170,66802188,69211982,145928636,71390909,74537727,31864499,14068497,17796002,21950033,9479776,12470257,4440286,1694380,2745906,0.487876594252676,0.512123405747324,0.0123198437347346,0.00630385656642257,0.00601598716831204,0.0655441595455377,0.0335414822429976,0.0320026773025401,0.203849501645341,0.104354157789753,0.099495343855588,0.0433161139525376,0.0221436495565464,0.0211724643959912,0.0603054211748489,0.0306764653898499,0.029628955784999,0.64503578610571,0.316803770152488,0.328232015953222,0.69205430902967,0.33856539438219,0.35348891464748,0.151114712248949,0.0667186663104353,0.0843960459385135,0.104096189324989,0.0449570420807335,0.0591391472442558,0.0210576836997511,0.00803545494753814,0.013022228752213
2023,0,BR,Brasil,211695158,103251553,108443605,2527241,1293317,1233924,13421242,6867652,6553590,42526495,21770688,20755807,8990030,4594327,4395703,12495830,6368111,6127719,136187172,66928260,69258912,146375852,71640324,74735528,32981491,14552605,18428886,22792811,9840541,12952270,4572930,1747653,2825277,0.487736960899219,0.512263039100781,0.0119381143332527,0.006109336709534,0.00582877762371872,0.063398908727048,0.032441233256738,0.03095767547031,0.200885534661119,0.102839801371366,0.0980457332897524,0.0424668664363122,0.0217025606225722,0.02076430581374,0.0590274719462407,0.0300815146655362,0.0289459572807046,0.64331736864761,0.31615394812195,0.32716342052566,0.691446386317442,0.338412671677639,0.353033714639803,0.155797096691272,0.0687432114059028,0.0870538852853687,0.107668079021439,0.0464844878502134,0.0611835911712256,0.0216014860387123,0.00825551711485059,0.0133459689238617
2024,0,BR,Brasil,212583750,103662286,108921464,2484344,1271325,1213019,13017992,6661380,6356612,42054707,21529516,20525191,8855925,4527379,4328546,12329451,6289321,6040130,136359426,67061925,69297501,146815459,71895320,74920139,34169617,15070845,19098772,23713584,10237450,13476134,4751208,1821325,2929883,0.487630338631245,0.512369661368755,0.0116864247620056,0.00598034892130749,0.00570607584069808,0.0612370042395056,0.0313353207853375,0.0299016834541681,0.197826536600281,0.101275454967748,0.0965510816325331,0.0416585228174778,0.0212969194493935,0.0203616033680843,0.0579980878124504,0.0295851446782739,0.0284129431341765,0.64143861419323,0.315461200585652,0.325977413607578,0.690624090505507,0.338197627993673,0.352426462511834,0.160734849206489,0.0708936830778458,0.0898411661286434,0.111549372894212,0.0481572556698242,0.063392117224388,0.0223498174248972,0.00856756454808987,0.0137822528768074
2025,0,BR,Brasil,213421037,104046624,109374413,2431971,1244521,1187450,12674414,6485679,6188735,41584042,21288206,20295836,8754302,4477005,4277297,12143621,6197508,5946113,136466093,67164207,69301886,147170695,72111371,75059324,35370902,15594211,19776691,24666300,10647047,14019253,4956211,1906030,3050181,0.487518125966186,0.512481874033814,0.0113951793796223,0.0058312948783957,0.00556388450122656,0.0593869010204463,0.0303891270100051,0.0289977740104412,0.194845093925769,0.0997474583538829,0.095097635571886,0.0410189272953444,0.0209773369248506,0.0200415903704938,0.0568998312945129,0.0290388805485937,0.0278609507459192,0.639421937585281,0.314702842531873,0.324719095053408,0.689579139286068,0.337883144106361,0.351695995179707,0.16573296848895,0.0730678250804301,0.0926651434085198,0.115575766788163,0.0498875235059419,0.0656882432822215,0.0232226919598371,0.00893084405732693,0.0142918479025102
2026,0,BR,Brasil,214211951,104407312,109804639,2386874,1221443,1165431,12380087,6335339,6044748,41060882,21019320,20041562,8693751,4447821,4245930,11976647,6112878,5863769,136580940,67271922,69309018,147504526,72320954,75183572,36570129,16116070,20454059,25646543,11067038,14579505,5184146,1999783,3184363,0.487401900372963,0.512598099627037,0.0111425809291098,0.00570203013556419,0.00544055079354559,0.0577936335587551,0.0295750959291716,0.0282185376295835,0.191683432265644,0.0981239370720264,0.0935594951936178,0.0405848084545012,0.0207636454419856,0.0198211630125156,0.0559102652493931,0.0285365871113325,0.0273736781380606,0.637597199233763,0.314043738857502,0.323553460376261,0.68859148759632,0.337614001751004,0.350977485845316,0.170719368500593,0.0752342244434345,0.0954851440571586,0.119725080138036,0.0516639615499324,0.0680611185881034,0.0242010120154314,0.00933553422516562,0.0148654777902658
2027,0,BR,Brasil,214959713,104746113,110213600,2346516,1200793,1145723,12136911,6211036,5925875,40484197,20722609,19761588,8669319,4436898,4232421,11828677,6036482,5792195,136718633,67391530,69327103,147827324,72528781,75298543,37756883,16631974,21124909,26648192,11494723,15153469,5429437,2099820,3329617,0.48728253093639,0.51271746906361,0.0109160733760377,0.00558613045785003,0.00532994291818765,0.0564613286397531,0.0288939537242497,0.0275673749155034,0.188333880963081,0.0964022919029483,0.0919315890601324,0.0403299710397362,0.0206406025486273,0.0196893684911088,0.0550274134390941,0.0280819224949375,0.0269454909441566,0.63601979688166,0.313507722258635,0.322512074623025,0.68769781061254,0.337406391122229,0.350291419490312,0.175646322155259,0.0773725167748061,0.0982738053804528,0.123968308424379,0.053473847911213,0.070494460513166,0.0252579282146697,0.00976843507415736,0.0154894931405123
2028,0,BR,Brasil,215667282,105064770,110602512,2310023,1182121,1127902,11925707,6102805,5822902,39885987,20414965,19471022,8682739,4444551,4238188,11658547,5951887,5706660,136853269,67509082,69344187,148119414,72723057,75396357,38928026,17140723,21787303,27661881,11926748,15735133,5688584,2204257,3484327,0.487161376661667,0.512838623338333,0.0107110498105132,0.00548122547396874,0.00522982433654447,0.0552967834963488,0.0282973149353271,0.0269994685610217,0.184942225033466,0.0946595367210127,0.0902826883124534,0.0402598804949932,0.0206083693306804,0.0196515111643128,0.054058023506783,0.0275975425887734,0.0264604809180096,0.634557396610581,0.313024216626424,0.321533179984157,0.686795941537391,0.337200229564724,0.349595711972667,0.180500378355953,0.0794776233142308,0.101022755041722,0.128261833429143,0.0553016103759308,0.0729602230532121,0.0263766666285524,0.0102206369902691,0.0161560296382833
2029,0,BR,Brasil,216337693,105364951,110972742,2277579,1165520,1112059,11724741,5999856,5724885,39228421,20077100,19151321,8715286,4461138,4254148,11580579,5914340,5666239,137020644,67642711,69377933,148417733,72923096,75494637,40088628,17645140,22443488,28691539,12364755,16326784,5964318,2314153,3650165,0.48703926504384,0.512960734956159,0.0105278879903744,0.00538750313843829,0.00514038485193609,0.0541964779110407,0.0277337523424547,0.026462725568586,0.181329570709622,0.0928044471658483,0.0885251235437738,0.0402855641064824,0.0206211776511826,0.0196643864552998,0.0535301030505119,0.0273384629279559,0.026191640122556,0.633364635167853,0.31267186989925,0.320692765268603,0.686046573492859,0.337079937336671,0.348966636156188,0.185305794122525,0.0815629479787417,0.103742846143783,0.132623855797519,0.0571548805413211,0.0754689752561982,0.0275694813848274,0.0106969477575043,0.0168725336273231
