ano,codigo,sigla,local,populacao_total,populacao_0_14,populacao_15_64,populacao_60_mais,populacao_65_mais,populacao_80_mais,proporcao_0_14,proporcao_15_64,proporcao_60_mais,proporcao_65_mais,proporcao_80_mais,taxa_crescimento,expectativa_vida,expectativa_vida_60,taxa_fecundidade,razao_dependencia_jovens,razao_dependencia_idosos,razao_dependencia_total,indice_envelhecimento,idade_media,idade_mediana
2043,0,BR,Brasil,220341694,31748291,145830811,57728377,42762592,11372247,0.144086624840054,0.661839383879839,0.261994795229268,0.194073991280107,0.0516118706067495,-0.0310834065056054,80.2112264384714,24.5467769077484,1.44157052095147,24.2603329326508,44.1129144772416,68.3732474098924,181.83144724231,42.3261483366829,43.2276581956444
2044,0,BR,Brasil,220220282,31442626,144860448,59031923,43917208,11824827,0.142778066191015,0.657797940700121,0.268058520604383,0.199423993108864,0.0536954493592012,-0.0551016912849866,80.3768583685697,24.6361276320332,1.44231119216208,24.23403473315,45.4981613923288,69.7321961254788,187.744888101903,42.6226656952514,43.6078605276155
2045,0,BR,Brasil,220045691,31147307,143802877,60290459,45095507,12275056,0.141549270328588,0.653513715022031,0.273990636790066,0.20493701464938,0.055784123489153,-0.0792801636681273,80.5400817769388,24.7241440858602,1.44325952815709,24.2188084443474,46.8792720199786,71.098080464326,193.565559295383,42.9135648105011,43.9798178963667
2046,0,BR,Brasil,219817347,30859621,142687553,61488537,46270173,12713966,0.140387560040928,0.649118711272591,0.279725589627829,0.210493728686481,0.0578387746623109,-0.103771175414658,80.7009733890919,24.8108681722686,1.44437528141621,24.209474651949,48.2379604690197,72.4474351209687,199.252404946905,43.1988966412191,44.3379760922735
2047,0,BR,Brasil,219535230,30577486,141538223,62615945,47419521,13135618,0.139282820347331,0.644717583596947,0.285220486024043,0.215999596055722,0.0598337588003529,-0.128341554408806,80.8595717158026,24.8963618158883,1.44566301147302,24.2021929733643,49.5607514659499,73.7629444393142,204.777936943541,43.4787030992702,44.6880207422071
2048,0,BR,Brasil,219199916,30299046,140361911,63664610,48538959,13539040,0.138225627787193,0.64033743060376,0.290440850351421,0.221436941609047,0.0617657171000011,-0.15273812772556,81.0159461802833,24.980704553545,1.44710309507604,24.1935091322593,50.8356046403813,75.0291137726406,210.120840108299,43.7530534409511,45.0296522858445
2049,0,BR,Brasil,218811421,30021715,139161280,64637653,49628426,13928785,0.137203601451864,0.635987277830438,0.295403469821623,0.226809120717698,0.0636565721128423,-0.177233188355785,81.1701393108949,25.0639036379694,1.44863264834375,24.1814084218164,52.0632977370096,76.2447061588261,215.302999845279,44.0220811188827,45.3616419899709
2050,0,BR,Brasil,218369418,29743299,137950440,65549776,50675679,14309681,0.136206339112925,0.631729668299981,0.300178370214826,0.232063992587094,0.0655296933566036,-0.202001795875184,81.3221364984106,25.1459507583841,1.45025586288853,24.1665443374443,53.2594440184171,77.4259883558614,220.385021849795,44.2859115052457,45.6876527426626
2051,0,BR,Brasil,217873978,29462867,136744894,66422062,51666217,14686218,0.135228939547797,0.627632979648446,0.304864594706211,0.237138080803757,0.0674069392536634,-0.226881586504935,81.4719744682651,25.2268578319486,1.45195792655807,24.1520589278469,54.4492005999653,78.6012595278122,225.443308012082,44.5446222081648,46.0077763356943
2052,0,BR,Brasil,217325473,29180494,135554533,67269889,52590446,15062771,0.134270932887835,0.623739735286346,0.309535224156627,0.241989331825819,0.0693097352651339,-0.251753332378224,81.6196235112954,25.3066049040283,1.4537387824893,24.1410318701728,55.6524003415427,79.7934322117154,230.53032960991,44.7982444837472,46.3222904721875
2053,0,BR,Brasil,216724289,28895041,134388530,68095122,53440718,15437488,0.133326269673447,0.620089841429818,0.314201616783248,0.246583888896736,0.0712310007855188,-0.276628409776891,81.7649590159583,25.3850842724254,1.45560852155693,24.1326695782621,56.8719414212787,81.0046109995408,235.663697448984,45.0469313386466,46.6253399010973
2054,0,BR,Brasil,216070026,28604397,133245397,68892807,54220232,15813467,0.132384845457463,0.616676914733189,0.318844812838593,0.250938239809348,0.0731867686265748,-0.301887251779154,81.9081091937246,25.4623615819576,1.45754421869391,24.1239067414622,58.1016845496011,82.2255912910633,240.846912451956,45.2909551878334,46.9177409401551
